Job Category:,Number of Positions:,Job Location:,Staffing Area:,School Name:,Principal Network:,url_link,Work Type:,Job Reference Number:,Contact:,Total Remuneration Package:,FTE:,Closing Date:,Organisation/Entity:,job_title
Trades and Services | Facilities Management,1,Sydney Region,,,,https://iworkfor.nsw.gov.au/job/site-manager-facilities-111355,Full-Time,000066SN,(02) 8095 1735 - TAFE NSW Modernisation Recruitment Team,"$125,619. Package includes salary ($102,667- $113,324), employer's contribution to superannuation and annual leave loading.",,31/05/2018 - 11:59 PM,TAFE Commission,Site Manager-Facilities
Policy | Advisory,1,Sydney Region / Sydney City,,,,https://iworkfor.nsw.gov.au/job/principal-policy-officer-111343,Full-Time,000066RS,02 8276 8082 - Rachel Maiden,"Up to $156,294. Package includes salary ($121,917 - $156,294), empoyer's contribution to superannuation and annual leave loading.",,27/05/2018 - 11:59 PM,ICT & Digital Government,Principal Policy Officer
Nursing and Midwifery | Nurse Educator,1,Central & North Coasts - Newcastle & Hunter Valley / Port Macquarie & Mid-North Coast,,,,https://iworkfor.nsw.gov.au/job/nurse-educator-port-macquarie-base-hospital-perm-fulltime-111342,Full-Time,REQ41015,,"$111,667.36 - $113,884.95",,31/05/2018 - 11:59 PM,Mid North Coast Local Health District,Nurse Educator - Port Macquarie Base Hospital - Perm Fulltime
Health - Allied | Occupational Therapy,1,Regional NSW / Bathurst & Central West NSW,,,,https://iworkfor.nsw.gov.au/job/senior-occupational-therapist-child-adolescent-mental-health-service-95053,Full-Time,REQ2847,,"$103,441.00 - $106,026.00",,17/06/2018 - 11:59 PM,Western NSW Local Health District,Senior Occupational Therapist - Child & Adolescent Mental Health Service
Construction and Architecture | Contract Management,1,Sydney Region / Sydney City,,,,https://iworkfor.nsw.gov.au/job/contracts-administrator-111337,Full-Time,0000671J,recruitment@sydneyoperahouse.com - Chris McAulay,"Base salary of $101,736 per annum plus 9.5% superannuation",,31/05/2018 - 11:59 PM,Sydney Opera House Trust,Contracts Administrator
Information and Communications Technology,1,Sydney Region / Sydney City,,,,https://iworkfor.nsw.gov.au/job/senior-systems-officer-testing-and-support-111335,Full-Time,000066ZU,02 9367 8039 - Himanshu Jolly,"$128,760. Package includes salary ($105,409 - $116,157), employer's contribution to superannuation and annul leave loading.",,31/05/2018 - 11:59 PM,NSW Education Standards Authority,"Senior Systems Officer, Testing and Support"
Senior Executive,1,Sydney Region,,,,https://iworkfor.nsw.gov.au/job/seslhd-clinical-operations-manager-mental-health-111329,Full-Time,REQ34816,,"$137,975.79 - $140,177.73",,31/05/2018 - 11:59 PM,South Eastern Sydney Local Health District,SESLHD Clinical Operations Manager - Mental Health
Projects | Project Manager,1,Sydney Region,,,,https://iworkfor.nsw.gov.au/job/multilevel-integrated-care-projects-manager-seslhd-111331,Full-Time,REQ37997,,"$108,255.00 - $123,411.00",,31/05/2018 - 11:59 PM,South Eastern Sydney Local Health District,Multilevel Integrated Care Projects Manager - SESLHD
Information and Communications Technology | Management and Supervision,1,Sydney Region / Sydney City|| Sydney Region / Sydney - Greater West,,,,https://iworkfor.nsw.gov.au/job/service-manager-service-desk-111327,Full-Time,000065LW,"02  8667 2183 or Scott.Douglas@justice.nsw.gov.au - Scott Douglas, Principal Manager  ICT Service Management","Maximum Total Remuneration Package: $128,749. Package includes salary ($105,409 - $116,157), employer's contribution to superannuation and annual leave loading.",,31/05/2018 - 11:59 PM,Corporate Services,Service Manager  Service Desk
Information and Communications Technology | IT Professional,3,Sydney Region / Sydney - East,,,,https://iworkfor.nsw.gov.au/job/senior-networking-specialist-clerk-grade-9-10-207029-207030-207031-111324,Full-Time,000064SG,02 9302 7153 - Girish Ghimire,"$128,760. Package includes salary ($105,409 - $116,157), employer's contribution to superannuation and annual leave loading.",,31/05/2018 - 11:59 PM,Department of Education,"Senior Networking Specialist, Clerk Grade 9/10 - 207029,207030,207031"
Nursing and Midwifery | Nurse Practitioner,1,Illawarra & South Coast / Wollongong & The South Coast,,,,https://iworkfor.nsw.gov.au/job/nurse-practitioner-emergency-department-shellharbour-hospital-111326,Full-Time,REQ38293,,"$118,257.51 - $126,621.74",,29/05/2018 - 11:59 PM,Illawarra Shoalhaven Local Health District,"Nurse Practitioner Emergency Department, Shellharbour Hospital"
Information and Communications Technology | Management and Supervision,1,Sydney Region / Sydney City|| Sydney Region / Sydney - Greater West,,,,https://iworkfor.nsw.gov.au/job/service-manager-desktop-111323,Full-Time,000065M3,colin.wilkinson@justice.nsw.gov.au or 02 8688 2422 - Colin Wilkinson,"Maximum Total Remuneration Package: $128,749. Package includes salary ($105,409 - $116,157), employer's contribution to superannuation and annual leave loading.",,31/05/2018 - 11:59 PM,Corporate Services,Service Manager  Desktop
Planning | Traffic and Transport Planning,1,Sydney Region / Sydney - East,,,,https://iworkfor.nsw.gov.au/job/senior-transport-planning-officer-111322,Full-Time,000066C6,02 8574 3537 - Ahlad Velamati,"Transport Service Grade 9 ($126,194 - $141,336), plus employer's contribution to superannuation and annual leave loading.",,03/06/2018 - 11:59 PM,Transport Coordination Office,Senior Transport Planning Officer
Information and Communications Technology | Network and Server Management,1,Illawarra & South Coast / Wollongong & The South Coast,,,,https://iworkfor.nsw.gov.au/job/manager-clinical-information-111320,Full-Time,REQ42212,,"$121,246.00 - $145,063.00",,27/05/2018 - 11:59 PM,Illawarra Shoalhaven Local Health District,Manager Clinical Information
Nursing and Midwifery | Nursing Unit Manager,1,Sydney Region / Sydney - West,,,,https://iworkfor.nsw.gov.au/job/nursing-unit-manager-level-2-liverpool-mental-health-perm-f-t-111319,Full-Time,REQ31478,,"$112,710.93 - $112,710.93",,30/05/2018 - 11:59 PM,South Western Sydney Local Health District,Nursing Unit Manager  Level 2 - Liverpool Mental Health - Perm F/T
Nursing and Midwifery | Nurse Manager,1,Central & North Coasts - Newcastle & Hunter Valley / Lismore & Far North Coast,,,,https://iworkfor.nsw.gov.au/job/practice-development-consultant-ballina-111318,Part-Time,REQ42710,,"$111,667.36 - $113,884.95",,31/05/2018 - 11:59 PM,Northern NSW Local Health District,Practice Development Consultant - Ballina
Nursing and Midwifery | Nurse Educator,1,Central & North Coasts - Newcastle & Hunter Valley / Lismore & Far North Coast,,,,https://iworkfor.nsw.gov.au/job/nurse-educator-emergency-mps-network-kyogle-nimbin-urbenville-bonalbo-111301,Full-Time,REQ41462,,"$104,325.83 - $107,305.23",,31/05/2018 - 11:59 PM,Northern NSW Local Health District,Nurse Educator- Emergency- MPS Network- Kyogle/Nimbin/Urbenville/Bonalbo
