Job Category:,Number of Positions:,Job Location:,Staffing Area:,School Name:,Principal Network:,url_link,Work Type:,Job Reference Number:,Contact:,Total Remuneration Package:,FTE:,Closing Date:,Organisation/Entity:,job_title
Accounting and Financial,1,Sydney Region / Sydney - Greater West,,,,https://iworkfor.nsw.gov.au/job/senior-financial-analyst-110379,Full-Time,000064TH,lindsay.beresford@justice.nsw.gov.au - Lindsay Beresford,"Maximum Total Remuneration Package: $128,749. Package includes salary ($105,409 - $116,157), employer's contribution to superannuation and annual leave loading.",,24/05/2018 - 11:59 PM,Finance,Senior Financial Analyst
Projects | Project Management,1,Sydney Region / Sydney - North/North West,,,,https://iworkfor.nsw.gov.au/job/director-strategic-traffic-modelling-110380,Full-Time,0000641O,0412 893 185 - David Scott,An attractive remuneration package will be negotiated with the sucessful candidate,,24/05/2018 - 11:59 PM,Technical & Project Services,Director Strategic Traffic Modelling
Customer Services and Call Centre | Technical Customer Service,1,Sydney Region / Sydney - Greater West,,,,https://iworkfor.nsw.gov.au/job/coordinator-market-relations-110375,Full-Time,000064TT,9895 2778 - Tracey Rance,"$128,760 Package includes salary ($105,409 - $116,157), employer's contribution to superannuation and annual leave loading.",,23/05/2018 - 11:59 PM,NSW Fair Trading,"Coordinator, Market Relations"
Environmental,1,Regional NSW / Dubbo & West NSW|| Sydney Region / Sydney City,,,,https://iworkfor.nsw.gov.au/job/senior-technical-advisor-petroleum-engineer-110372,Full-Time,000062SH,(02) 6883 5385 - Mark Clyne,"Up to $143,247. Package includes salary ($117,257 - $129,226), employer's contribution to superannuation and annual leave loading.",,24/05/2018 - 11:59 PM,Regulatory Services,Senior Technical Advisor Petroleum Engineer
Environmental,2,Sydney Region,,,,https://iworkfor.nsw.gov.au/job/senior-project-officer-110368,Full-Time,000064JF,(02) 9995 6858 - Laura Wythes,"Up to $133,790 pa. Package includes salary ($109,445 pa - $120,695 pa), employer's contribution to superannuation and annual leave loading.",,24/05/2018 - 11:59 PM,Hazardous Incidents & Environmental Health,Senior Project Officer
Legal and Justice | Advisory,1,Sydney Region / Sydney City,,,,https://iworkfor.nsw.gov.au/job/lawyer-legal-expertise-110362,Full-Time,000064K7,02 9372 8826 - Susan Madden,"$105,409 - $116,157, plus employers contribution to superannuation and annual leave loading.",,24/05/2018 - 11:59 PM,"Finance, Services & Innovation",Lawyer - Legal Expertise
Education And/Or Training | Vocational Education and Training/TAFE,1,Sydney Region / Sydney - Inner West,,,,https://iworkfor.nsw.gov.au/job/teacher-design-entertainment-110363,Full-Time,0000661P,"9394 5746 - Rod McRae, Head Teacher Entertainment & Illustration","Total remuneration package valued to $108,586 p.a. (including salary $82,599 - $97,958 p.a.), employer's contribution to superannuation and annual leave loading.",,27/05/2018 - 11:59 PM,TAFE - Sydney Institute,Teacher Design Entertainment
Transport and Logistics,1,Sydney Region / Sydney - West,,,,https://iworkfor.nsw.gov.au/job/field-services-advisor-110359,Full-Time,000065WX,(02) 9742 7173 - Harry Vertsonis,"Up to $113,464.00. Package includes salary ($92,470.00 - $102,359), employers contribution to superannuation and annual leave loading",,24/05/2018 - 11:59 PM,Logistics Support Directorate,Field Services Advisor
Nursing and Midwifery | Clinical Nurse Consultant,1,Sydney Region,,,,https://iworkfor.nsw.gov.au/job/clinical-nurse-consultant-mental-health-grade-2-110354,Full-Time,REQ38900,,"$111,667.36 - $113,884.95",,23/05/2018 - 11:59 PM,Northern Sydney Local Health District,Clinical Nurse Consultant Mental Health Grade 2
Health - Allied | Pharmacy,1,Sydney Region,,,,https://iworkfor.nsw.gov.au/job/pharmacy-manager-temporary-full-time-110350,Full-Time,REQ35748,,"$123,031.85 - $126,126.04",,23/05/2018 - 11:59 PM,Northern Sydney Local Health District,Pharmacy Manager (Temporary Full Time)
Contract & Procurement | Contracts and Business Support,1,Sydney Region,,,,https://iworkfor.nsw.gov.au/job/procurement-manager-110347,Full-Time,REQ38062,,"$121,246.00 - $145,063.00",,24/05/2018 - 11:59 PM,Northern Sydney Local Health District,Procurement Manager
Trades and Services,1,Regional NSW / Tamworth & North West NSW,,,,https://iworkfor.nsw.gov.au/job/manager-of-industries-level-2-ongoing-glen-innes-correctional-centre-110345,Full-Time,000065EV,02 6642 0366 - andrew.wilson@justice.nsw.gov.au,"$135,450.  Package includes fixed salary of $122,203 pa,  employer's contribution to superannuation and annual leave loading.",,24/05/2018 - 11:59 PM,Corrective Services NSW,"Manager of Industries Level 2, Ongoing, Glen Innes Correctional Centre"
Health - Medical Positions,,Sydney Region / Sydney City,,,,https://iworkfor.nsw.gov.au/job/staff-specialist-emergency-medicine-109288,Full-Time,430353,0498226712 - Dr Anne Smith,"$228,834.00 - $309,164.00",,27/05/2018 - 11:59 PM,Illawarra Shoalhaven Local Health District,Staff Specialist Emergency Medicine
Research and Analysis | Analysis,1,Sydney Region,,,,https://iworkfor.nsw.gov.au/job/senior-economics-evaluation-analyst-109534,Full-Time,REQ39688,,"$121,246.00 - $145,063.00",,20/05/2018 - 11:59 PM,Health System Support Group,Senior Economics & Evaluation Analyst
Policy | Advisory,1,Sydney Region / Sydney - Greater West,,,,https://iworkfor.nsw.gov.au/job/principal-policy-officer-clerk-grade-11-12-207103-110344,Full-Time,000065UA,(02) 9561 8459 - Daniel Kicuroski,"$156,294. Package includes salary ($121,917 - $140,996), employer's contribution to superannuation and annual leave loading.",,24/05/2018 - 11:59 PM,Department of Education,Principal Policy Officer - Clerk Grade 11/12 - 207103
Planning | Urban and Regional Planning,1,Sydney Region / Sydney City,,,,https://iworkfor.nsw.gov.au/job/aboriginal-affairs-advisor-110336,Full-Time,0000660R,0435680747 - Sunitha Kodali,"Transport Service Grade 9 ($126,194- $141,336), plus employer's contribution to superannuation and annual leave loading.",,20/05/2018 - 11:59 PM,Sydney Metro Delivery Office,Aboriginal Affairs Advisor
Planning | Town Planning,1,Sydney Region / Sydney City,,,,https://iworkfor.nsw.gov.au/job/environmental-assessment-officer-110334,Full-Time,00006563,02 9274 6236 - Kelly McNicol,"Package includes a base salary of($94,327 - $106,290), plus employer's contribution to superannuation and annual leave loading.",,23/05/2018 - 11:59 PM,Planning,Environmental Assessment Officer
Policy,1,Sydney Region / Sydney City,,,,https://iworkfor.nsw.gov.au/job/manager-internal-audit-110333,Full-Time,000065UG,02 8093 0607 - Ed Oldbury,"$156,282 Package includes salary ($121,917 - $140,996) employer's contribution to superannuation and annual leave loading. Salary depends on skills and experience.",,03/06/2018 - 11:59 PM,Policy and Communications,Manager Internal Audit
Contract & Procurement | Contract and Procurement Management,1,Sydney Region,,,,https://iworkfor.nsw.gov.au/job/product-critical-supply-manager-110338,Full-Time,REQ40646,,"$108,255.00 - $123,411.00",,20/05/2018 - 11:59 PM,HealthShare NSW,Product Critical Supply Manager
Health - Allied | Social Worker,1,Sydney Region / Sydney - West,,,,https://iworkfor.nsw.gov.au/job/clinical-senior-sexual-assault-service-110326,Full-Time,REQ37568,,"$103,441.00 - $106,026.00",,24/05/2018 - 11:59 PM,Western Sydney Local Health District,Clinical Senior - Sexual Assault Service
Research and Analysis | Research,1,Sydney Region / Sydney - West,,,,https://iworkfor.nsw.gov.au/job/senior-research-officer-post-doctoral-scientist-110329,Full-Time,REQ41469,,"$93,099.00 - $110,422.00",,23/05/2018 - 11:59 PM,Sydney Children's Hospital Network,Senior Research Officer / Post Doctoral Scientist
Education And/Or Training | Education and Training Officer,1,Sydney Region,,,,https://iworkfor.nsw.gov.au/job/program-leader-centre-for-genetics-education-106340,Part-Time,REQ26807,,"$93,099.00 - $110,422.00",,21/06/2018 - 11:59 PM,Northern Sydney Local Health District,Program Leader - Centre for Genetics Education
Environmental | Forestry,1,Central & North Coasts - Newcastle & Hunter Valley / Lismore & Far North Coast,,,,https://iworkfor.nsw.gov.au/job/operations-officer-forestry-110319,Full-Time,000063YV,(02) 6640 2592 - Ben Lewin,"Up to $117,931. Package includes salary ($94,299 - $106,388), employer's contribution to superannuation and annual leave loading.",,23/05/2018 - 11:59 PM,Regulatory Services,Operations Officer (Forestry)
Environmental | Forestry,1,Central & North Coasts - Newcastle & Hunter Valley / Port Macquarie & Mid-North Coast,,,,https://iworkfor.nsw.gov.au/job/unit-head-forestry-110312,Full-Time,000063WL,(02) 6229 7091 - Michael Hood,"Up to $151,230. Package includes salary ($124,308 - $136,428), employer's contribution to superannuation and annual leave loading.",,23/05/2018 - 11:59 PM,Regulatory Services,Unit Head Forestry
Property and Assets,1,Sydney Region / Sydney - North/North West,,,,https://iworkfor.nsw.gov.au/job/senior-asset-services-officer-clerk-grade-7-8-158169-110311,Full-Time,000065VB,02 9457 5515 - Michelle Johns,"$113,465. Package includes salary ($92,470 - $102,359), employer's contribution to superannuation and annual leave loading.",,23/05/2018 - 11:59 PM,Department of Education,Senior Asset Services Officer - Clerk Grade 7/8 - 158169
Projects | Change Management,,"Central & North Coasts - Newcastle & Hunter Valley / Gosford, Central Coast and Region",,,,https://iworkfor.nsw.gov.au/job/change-manager-wyong-redevelopment-110314,Full-Time,REQ41055,,"$121,246.00 - $145,063.00",,23/05/2018 - 11:59 PM,Central Coast Local Health District,Change Manager - Wyong Redevelopment
Administration and Clerical,1,Sydney Region / Sydney City,,,,https://iworkfor.nsw.gov.au/job/senior-administrative-officer-110309,Full-Time,0000668T,02 9367 8267 - Pearl Benn,"$113,465. Package includes salary ($92,470 - $102,359), employer's contribution to superannuation and annuL leave loading.",,30/05/2018 - 11:59 PM,NSW Education Standards Authority,Senior Administrative Officer
Oral Health | Dental Officers,1,Central & North Coasts - Newcastle & Hunter Valley / Lismore & Far North Coast,,,,https://iworkfor.nsw.gov.au/job/dental-officer-level-2-grafton-110313,Full-Time,REQ39892,,"$120,280.00 - $126,909.00",,23/05/2018 - 11:59 PM,Northern NSW Local Health District,Dental Officer Level 2 - Grafton
Human Resources and Recruitment | HR Management,1,Sydney Region / Sydney - Greater West,,,,https://iworkfor.nsw.gov.au/job/senior-advisor-corporate-talent-programs-clerk-grade-7-8-193086-110304,Full-Time,000065QH,02 9836 9196 - Natalie Kerr,"$113,465. Package includes salary ($92,470 - $102,359), employer's contribution to superannuation and annual leave loading.",,23/05/2018 - 11:59 PM,Department of Education,"Senior Advisor, Corporate Talent Programs, Clerk Grade 7/8 - 193086"
Community | Casework Manager - FACS,,Sydney Region / Sydney - West|| Sydney Region / Sydney - Greater West,,,,https://iworkfor.nsw.gov.au/job/casework-manager-western-sydney-nepean-blue-mountains-110303,Full-Time,000065O4,9765 3394 - FACS Recruitment Team,"Package includes salary ($105,409 - $108,373), employer's contribution to superannuation and annual leave loading.",,23/05/2018 - 11:59 PM,Department of Family & Community Services,"Casework Manager -  Western Sydney,Nepean Blue Mountains"
Sales and Marketing | Business Development,1,Sydney Region / Sydney City,,,,https://iworkfor.nsw.gov.au/job/development-manager-110296,Full-Time,00006664,02 9320 6263 - Paulo Saqueton,"$156,294. Package includes salary ($121,917  - $140,996), employer's contribution to superannuation and annual leave loading.",,23/05/2018 - 11:59 PM,Australian Museum Trust,Development Manager
Marketing & Communications | Communications Marketing and Media,1,Sydney Region,,,,https://iworkfor.nsw.gov.au/job/deputy-manager-media-and-communications-seslhd-110295,Full-Time,REQ40947,,"$108,255.00 - $123,411.00",,23/05/2018 - 11:59 PM,South Eastern Sydney Local Health District,"Deputy Manager, Media and Communications, SESLHD"
Planning | Urban and Regional Planning,1,Sydney Region / Sydney City,,,,https://iworkfor.nsw.gov.au/job/senior-infrastructure-planning-officer-110247,Full-Time,000065A0,geoff.thompson@planning.nsw.gov.au - Geoff Thompson,"$133,830pa. Package includes salary ($112,797pa - $120,731pa), employer's contribution to superannuation and annual leave loading.",,20/05/2018 - 11:59 PM,Planning,Senior Infrastructure Planning Officer
Environmental | Field Officer,1,Sydney Region / Sydney City,,,,https://iworkfor.nsw.gov.au/job/principal-technical-advisor-radiation-assessment-110285,Full-Time,000061AA,(02) 9995 5972 - Len Potopof,"Up to $143,247. Package includes salary ($117,257 - $129,226), employer's contribution to superannuation and annual leave loading.",,23/05/2018 - 11:59 PM,Hazardous Incidents & Environmental Health,Principal Technical Advisor Radiation Assessment
Population Health | Health Promotion,1,Sydney Region,,,,https://iworkfor.nsw.gov.au/job/carers-program-manager-110286,Full-Time,REQ38241,,"$93,099.00 - $110,422.00",,23/05/2018 - 11:59 PM,South Eastern Sydney Local Health District,Carers Program Manager
Senior Executive,1,Regional NSW / Tamworth & North West NSW,,,,https://iworkfor.nsw.gov.au/job/manager-child-family-allied-health-team-110287,Full-Time,REQ41804,,"$93,099.00 - $110,422.00",,30/05/2018 - 11:59 PM,Hunter New England Local Health District,"Manager, Child & Family Allied Health Team"
CEO | Director,1,Sydney Region / Sydney - West,,,,https://iworkfor.nsw.gov.au/job/chief-information-security-officer-110273,Full-Time,000063YO,(02) 9765 3405 or naomi.youness@facs.nsw.gov.au - Naomi Youness,"Base remuneration: $225,056",,23/05/2018 - 11:59 PM,Department of Family & Community Services,Chief Information Security Officer
Senior Executive | Director,1,Sydney Region / Sydney - West,,,,https://iworkfor.nsw.gov.au/job/director-of-internal-audit-110270,Full-Time,REQ41693,,"$156,827.00 - $171,577.00",,29/05/2018 - 11:59 PM,Western Sydney Local Health District,Director of Internal Audit
